Wykorzystany algorytm,Rozmiar plecaka,Liczba przedmiotów,Czas obliczeń [us]
Algorytm zachłanny,5100,4,17
Algorytm programowania dynamicznego,5100,4,12049
Algorytm siłowy,5100,5,242
Algorytm zachłanny,5100,5,19
Algorytm programowania dynamicznego,5100,5,15435
Algorytm siłowy,5100,6,553
Algorytm zachłanny,5100,6,20
Algorytm programowania dynamicznego,5100,6,17899
Algorytm siłowy,5100,7,1013
Algorytm zachłanny,5100,7,32
Algorytm programowania dynamicznego,5100,7,33936
Algorytm siłowy,5100,8,1991
Algorytm zachłanny,5100,8,23
Algorytm programowania dynamicznego,5100,8,23522
Algorytm siłowy,5100,9,2840
Algorytm zachłanny,5100,9,27
Algorytm programowania dynamicznego,5100,9,25413
Algorytm siłowy,5100,10,8009
Algorytm zachłanny,5100,10,36
Algorytm programowania dynamicznego,5100,10,47901
Algorytm siłowy,5100,11,14232
Algorytm zachłanny,5100,11,27
Algorytm programowania dynamicznego,5100,11,31745
Algorytm siłowy,5100,12,30462
Algorytm zachłanny,5100,12,360
Algorytm programowania dynamicznego,5100,12,36384
Algorytm siłowy,5100,13,64348
Algorytm zachłanny,5100,13,28
Algorytm programowania dynamicznego,5100,13,38005
Algorytm siłowy,5100,14,140642
Algorytm zachłanny,5100,14,28
Algorytm programowania dynamicznego,5100,14,43149
Algorytm siłowy,5100,15,293400
Algorytm zachłanny,5100,15,220
Algorytm programowania dynamicznego,5100,15,45168
Algorytm siłowy,5100,16,621032
Algorytm zachłanny,5100,16,44
Algorytm programowania dynamicznego,5100,16,52053
Algorytm siłowy,6100,2,39
Algorytm zachłanny,6100,2,23
Algorytm programowania dynamicznego,6100,2,6612
Algorytm siłowy,6100,3,33
Algorytm zachłanny,6100,3,20
Algorytm programowania dynamicznego,6100,3,10957
Algorytm siłowy,6100,4,61
Algorytm zachłanny,6100,4,172
Algorytm programowania dynamicznego,6100,4,15546
Algorytm siłowy,6100,5,128
Algorytm zachłanny,6100,5,28
Algorytm programowania dynamicznego,6100,5,17193
Algorytm siłowy,6100,6,273
Algorytm zachłanny,6100,6,30
Algorytm programowania dynamicznego,6100,6,20158
Algorytm siłowy,6100,7,582
Algorytm zachłanny,6100,7,22
Algorytm programowania dynamicznego,6100,7,23809
Algorytm siłowy,6100,8,2292
Algorytm zachłanny,6100,8,26
Algorytm programowania dynamicznego,6100,8,30417
Algorytm siłowy,6100,9,3266
Algorytm zachłanny,6100,9,24
Algorytm programowania dynamicznego,6100,9,33455
Algorytm siłowy,6100,10,7032
Algorytm zachłanny,6100,10,24
Algorytm programowania dynamicznego,6100,10,39989
Algorytm siłowy,6100,11,15904
Algorytm zachłanny,6100,11,37
Algorytm programowania dynamicznego,6100,11,39418
Algorytm siłowy,6100,12,33470
Algorytm zachłanny,6100,12,23
Algorytm programowania dynamicznego,6100,12,41979
Algorytm siłowy,6100,13,63408
Algorytm zachłanny,6100,13,25
Algorytm programowania dynamicznego,6100,13,42173
Algorytm siłowy,6100,14,129989
Algorytm zachłanny,6100,14,189
Algorytm programowania dynamicznego,6100,14,46729
Algorytm siłowy,6100,15,262816
Algorytm zachłanny,6100,15,25
Algorytm programowania dynamicznego,6100,15,42081
Algorytm siłowy,6100,16,438222
Algorytm zachłanny,6100,16,21
Algorytm programowania dynamicznego,6100,16,39062
Algorytm siłowy,7100,2,36
Algorytm zachłanny,7100,2,17
Algorytm programowania dynamicznego,7100,2,7821
Algorytm siłowy,7100,3,47
Algorytm zachłanny,7100,3,14
Algorytm programowania dynamicznego,7100,3,7821
Algorytm siłowy,7100,4,40
Algorytm zachłanny,7100,4,19
Algorytm programowania dynamicznego,7100,4,11766
Algorytm siłowy,7100,5,177
Algorytm zachłanny,7100,5,23
Algorytm programowania dynamicznego,7100,5,14905
Algorytm siłowy,7100,6,172
Algorytm zachłanny,7100,6,24
Algorytm programowania dynamicznego,7100,6,16094
Algorytm siłowy,7100,7,833
Algorytm zachłanny,7100,7,27
Algorytm programowania dynamicznego,7100,7,20176
Algorytm siłowy,7100,8,1495
Algorytm zachłanny,7100,8,17
Algorytm programowania dynamicznego,7100,8,24363
Algorytm siłowy,7100,9,2545
Algorytm zachłanny,7100,9,17
Algorytm programowania dynamicznego,7100,9,22390
